customer_id,first_order_date,subscription_flag,region,total_orders
C0001,2025-10-24,False,Canada,5.0
C0002,2024-06-02,False,UK,7.0
C0003,2024-03-29,False,Australia,4.0
C0004,2024-10-21,False,US-East,3.0
C0005,2025-06-02,False,Australia,4.0
C0006,2025-10-26,False,Canada,4.0
C0007,2025-09-11,False,UK,3.0
C0008,2024-08-30,True,US-East,3.0
C0009,2024-11-20,False,US-East,7.0
C0010,2025-06-19,False,US-West,5.0
C0011,2025-04-16,False,US-East,7.0
C0012,2025-02-06,False,Canada,8.0
C0013,2024-09-25,False,UK,3.0
C0014,2025-10-16,False,US-East,8.0
C0015,2024-06-30,False,US-East,5.0
C0016,2024-03-31,True,Canada,4.0
C0017,2025-09-29,True,UK,6.0
C0018,2024-07-31,False,Australia,4.0
C0019,2025-06-24,False,US-West,4.0
C0020,2024-11-08,False,US-West,3.0
C0021,2024-10-24,False,Australia,3.0
C0022,2024-04-26,True,US-East,9.0
C0023,2024-01-02,False,US-East,3.0
C0024,2024-11-26,False,Canada,3.0
C0025,2024-05-04,True,Australia,2.0
C0026,2025-05-13,True,Canada,5.0
C0027,2025-10-04,False,US-East,7.0
C0028,2025-07-25,True,US-East,3.0
C0029,2025-03-13,True,US-East,3.0
C0030,2024-04-24,True,UK,4.0
C0031,2024-03-28,True,UK,3.0
C0032,2024-12-02,False,UK,3.0
C0033,2025-05-13,True,Australia,2.0
C0034,2025-10-14,False,US-East,8.0
C0035,2024-04-08,False,US-East,6.0
C0036,2024-07-18,False,US-East,4.0
C0037,2024-01-07,False,Canada,6.0
C0038,2025-09-07,True,US-East,7.0
C0039,2025-11-26,False,US-West,6.0
C0040,2025-02-17,False,US-West,3.0
C0041,2025-10-29,True,UK,2.0
C0042,2025-02-16,True,US-East,4.0
C0043,2025-08-18,False,Australia,2.0
C0044,2024-08-08,False,Canada,3.0
C0045,2024-02-21,False,Australia,6.0
C0046,2025-02-21,False,Canada,8.0
C0047,2024-02-29,False,UK,3.0
C0048,2024-04-25,False,UK,7.0
C0049,2025-07-09,False,US-East,6.0
C0050,2024-04-11,True,US-West,4.0
C0051,2024-12-27,False,Canada,7.0
C0052,2024-02-18,False,UK,3.0
C0053,2024-03-03,False,Australia,4.0
C0054,2025-09-06,True,US-West,7.0
C0055,2025-02-21,False,US-West,4.0
C0056,2025-02-04,False,Australia,2.0
C0057,2025-02-02,False,US-West,6.0
C0058,2024-05-17,False,US-East,4.0
C0059,2024-05-09,True,US-West,7.0
C0060,2024-08-18,False,Canada,5.0
C0061,2024-02-16,True,Canada,6.0
C0062,2024-09-20,False,US-East,4.0
C0063,2025-09-28,True,US-West,8.0
