order_id,customer_id,order_date,product_id,quantity,unit_price,discount_pct,net_revenue,channel,month
O000001,C1195,2025-07-10,P005,1,25.0,0.0,25.0,DTC,2025-07
O000002,C2807,2024-09-30,P006,1,25.0,0.1,22.5,DTC,2024-09
O000003,C2610,2025-11-09,P008,1,25.0,0.1,22.5,DTC,2025-11
O000004,C0297,2024-03-02,P008,1,25.0,0.0,25.0,DTC,2024-03
O000005,C0724,2025-02-08,P009,1,32.0,0.0,32.0,DTC,2025-02
O000006,C1336,2025-02-09,P011,1,20.0,0.0,20.0,DTC,2025-02
O000007,C2020,2025-01-14,P012,1,79.0,0.0,79.0,DTC,2025-01
O000008,C0702,2024-04-17,P003,1,25.0,0.0,25.0,DTC,2024-04
O000009,C0759,2025-10-17,P003,1,25.0,0.0,25.0,DTC,2025-10
O000010,C2227,2025-12-12,P003,1,25.0,0.15,21.25,Subscription,2025-12
O000011,C0265,2025-09-02,P003,1,25.0,0.0,25.0,DTC,2025-09
O000012,C0434,2024-05-17,P005,1,25.0,0.15,21.25,DTC,2024-05
O000013,C0286,2025-01-26,P009,1,32.0,0.0,32.0,DTC,2025-01
O000014,C0945,2024-07-26,P006,2,25.0,0.0,50.0,Subscription,2024-07
O000015,C0288,2024-10-07,P003,1,25.0,0.0,25.0,DTC,2024-10
O000016,C0776,2025-02-15,P001,1,25.0,0.05,23.75,DTC,2025-02
O000017,C2551,2025-05-23,P012,1,79.0,0.0,79.0,DTC,2025-05
O000018,C0599,2025-08-07,P003,1,25.0,0.0,25.0,DTC,2025-08
O000019,C1234,2025-07-25,P009,1,32.0,0.0,32.0,DTC,2025-07
O000020,C0325,2024-10-21,P012,3,79.0,0.0,237.0,DTC,2024-10
O000021,C2512,2025-02-03,P012,1,79.0,0.0,79.0,DTC,2025-02
O000022,C2944,2024-08-18,P003,2,25.0,0.0,50.0,DTC,2024-08
O000023,C0923,2024-06-08,P012,2,79.0,0.0,158.0,DTC,2024-06
O000024,C1565,2024-06-18,P002,3,25.0,0.0,75.0,DTC,2024-06
O000025,C1321,2024-04-02,P010,2,28.0,0.0,56.0,DTC,2024-04
O000026,C0838,2024-01-24,P008,1,25.0,0.0,25.0,DTC,2024-01
O000027,C0906,2025-07-08,P012,2,79.0,0.0,158.0,Subscription,2025-07
O000028,C1308,2024-11-06,P003,2,25.0,0.0,50.0,DTC,2024-11
O000029,C0786,2025-01-16,P002,2,25.0,0.0,50.0,Subscription,2025-01
O000030,C2336,2025-09-02,P005,1,25.0,0.0,25.0,Subscription,2025-09
O000031,C1266,2025-02-02,P006,1,25.0,0.0,25.0,Subscription,2025-02
O000032,C0821,2025-08-26,P010,2,28.0,0.0,56.0,Subscription,2025-08
O000033,C0753,2025-08-12,P005,2,25.0,0.0,50.0,DTC,2025-08
O000034,C2703,2024-03-14,P007,1,32.0,0.05,30.4,DTC,2024-03
O000035,C1668,2024-08-15,P009,1,32.0,0.0,32.0,DTC,2024-08
O000036,C2232,2024-03-17,P009,1,32.0,0.0,32.0,DTC,2024-03
O000037,C1786,2025-06-08,P010,1,28.0,0.0,28.0,DTC,2025-06
O000038,C0810,2024-08-27,P002,1,25.0,0.0,25.0,Subscription,2024-08
O000039,C2017,2025-06-15,P006,1,25.0,0.0,25.0,DTC,2025-06
O000040,C2223,2024-05-30,P011,1,20.0,0.1,18.0,DTC,2024-05
O000041,C0481,2025-10-17,P007,2,32.0,0.0,64.0,DTC,2025-10
O000042,C1224,2024-02-20,P011,1,20.0,0.05,19.0,Subscription,2024-02
O000043,C1335,2024-12-20,P004,2,32.0,0.0,64.0,DTC,2024-12
O000044,C2303,2025-09-10,P011,1,20.0,0.15,17.0,Subscription,2025-09
O000045,C2535,2025-03-09,P011,1,20.0,0.05,19.0,DTC,2025-03
O000046,C2533,2025-06-09,P001,1,25.0,0.0,25.0,DTC,2025-06
O000047,C1062,2025-01-17,P009,1,32.0,0.0,32.0,Subscription,2025-01
O000048,C0001,2024-10-08,P007,1,32.0,0.0,32.0,DTC,2024-10
O000049,C1027,2024-11-08,P002,1,25.0,0.0,25.0,DTC,2024-11
O000050,C0247,2024-05-20,P012,1,79.0,0.0,79.0,DTC,2024-05
O000051,C0258,2024-09-20,P009,1,32.0,0.1,28.8,DTC,2024-09
O000052,C0712,2024-06-08,P003,1,25.0,0.0,25.0,DTC,2024-06
O000053,C2940,2024-01-13,P004,1,32.0,0.1,28.8,DTC,2024-01
O000054,C0939,2024-06-12,P006,1,25.0,0.0,25.0,DTC,2024-06
O000055,C1738,2024-09-22,P006,1,25.0,0.0,25.0,DTC,2024-09
O000056,C0518,2025-09-30,P005,2,25.0,0.15,42.5,DTC,2025-09
O000057,C2846,2024-10-20,P002,1,25.0,0.05,23.75,DTC,2024-10
O000058,C1424,2024-01-13,P004,1,32.0,0.0,32.0,DTC,2024-01
O000059,C0605,2024-04-27,P009,1,32.0,0.0,32.0,DTC,2024-04
O000060,C2361,2024-08-28,P004,1,32.0,0.0,32.0,DTC,2024-08
O000061,C2949,2025-02-10,P001,2,25.0,0.0,50.0,DTC,2025-02
O000062,C2819,2025-07-27,P001,1,25.0,0.0,25.0,DTC,2025-07
O000063,C1346,2024-08-27,P004,1,32.0,0.0,32.0,DTC,2024-08
O000064,C2629,2025-12-23,P007,1,32.0,0.1,28.8,DTC,2025-12
O000065,C0181,2025-10-08,P002,1,25.0,0.05,23.75,DTC,2025-10
O000066,C0691,2025-04-04,P007,1,32.0,0.05,30.4,DTC,2025-04
O000067,C0732,2024-03-27,P007,1,32.0,0.0,32.0,DTC,2024-03
O000068,C1271,2025-11-30,P011,1,20.0,0.0,20.0,Subscription,2025-11
O000069,C1539,2025-08-03,P001,1,25.0,0.0,25.0,DTC,2025-08
O000070,C2307,2025-05-25,P001,1,25.0,0.1,22.5,DTC,2025-05
O000071,C2301,2024-04-14,P011,1,20.0,0.0,20.0,DTC,2024-04
O000072,C2847,2024-11-14,P006,2,25.0,0.0,50.0,DTC,2024-11
O000073,C0613,2024-03-31,P001,1,25.0,0.0,25.0,DTC,2024-03
O000074,C1889,2024-03-29,P005,1,25.0,0.0,25.0,DTC,2024-03
O000075,C0641,2024-07-15,P012,1,79.0,0.05,75.05,DTC,2024-07
O000076,C1465,2025-09-03,P009,2,32.0,0.0,64.0,DTC,2025-09
O000077,C2069,2024-06-25,P009,1,32.0,0.05,30.4,DTC,2024-06
O000078,C2695,2025-08-15,P005,1,25.0,0.15,21.25,DTC,2025-08
O000079,C0370,2025-08-07,P010,1,28.0,0.0,28.0,DTC,2025-08
O000080,C0472,2025-04-07,P001,1,25.0,0.0,25.0,DTC,2025-04
O000081,C2413,2025-07-26,P007,2,32.0,0.0,64.0,Subscription,2025-07
O000082,C0590,2024-10-25,P006,1,25.0,0.0,25.0,DTC,2024-10
O000083,C0221,2025-12-02,P006,1,25.0,0.0,25.0,DTC,2025-12
O000084,C1189,2024-12-16,P010,1,28.0,0.0,28.0,DTC,2024-12
O000085,C0212,2025-05-23,P001,1,25.0,0.1,22.5,DTC,2025-05
O000086,C0276,2025-07-20,P011,1,20.0,0.0,20.0,Subscription,2025-07
O000087,C0148,2025-05-05,P012,3,79.0,0.0,237.0,DTC,2025-05
O000088,C2038,2025-01-24,P007,1,32.0,0.0,32.0,DTC,2025-01
O000089,C1261,2024-03-21,P001,1,25.0,0.0,25.0,DTC,2024-03
O000090,C1991,2025-07-09,P005,1,25.0,0.0,25.0,Subscription,2025-07
O000091,C0298,2024-06-30,P001,1,25.0,0.0,25.0,DTC,2024-06
O000092,C2244,2025-06-13,P012,1,79.0,0.0,79.0,DTC,2025-06
O000093,C1830,2024-07-24,P010,1,28.0,0.0,28.0,DTC,2024-07
O000094,C0215,2024-08-08,P002,2,25.0,0.0,50.0,DTC,2024-08
O000095,C2796,2025-07-23,P007,1,32.0,0.0,32.0,DTC,2025-07
O000096,C2979,2024-06-22,P010,1,28.0,0.1,25.2,DTC,2024-06
O000097,C1582,2025-02-03,P003,3,25.0,0.0,75.0,DTC,2025-02
O000098,C2608,2024-11-15,P007,2,32.0,0.0,64.0,DTC,2024-11
O000099,C0893,2025-05-12,P009,2,32.0,0.0,64.0,DTC,2025-05
O000100,C1795,2024-03-11,P011,1,20.0,0.0,20.0,DTC,2024-03
O000101,C0267,2024-08-04,P010,1,28.0,0.0,28.0,DTC,2024-08
O000102,C0823,2024-05-03,P011,1,20.0,0.0,20.0,Subscription,2024-05
O000103,C1838,2025-12-13,P006,1,25.0,0.0,25.0,DTC,2025-12
O000104,C1273,2024-10-31,P011,1,20.0,0.0,20.0,DTC,2024-10
O000105,C0420,2025-01-29,P010,2,28.0,0.0,56.0,Subscription,2025-01
O000106,C1436,2024-07-15,P001,1,25.0,0.0,25.0,DTC,2024-07
O000107,C0161,2025-01-18,P005,3,25.0,0.0,75.0,DTC,2025-01
O000108,C1573,2024-12-13,P011,1,20.0,0.0,20.0,DTC,2024-12
O000109,C1974,2025-02-26,P004,1,32.0,0.0,32.0,DTC,2025-02
O000110,C2758,2024-05-10,P003,3,25.0,0.0,75.0,DTC,2024-05
O000111,C0191,2024-07-02,P005,1,25.0,0.05,23.75,DTC,2024-07
O000112,C0252,2024-10-30,P011,2,20.0,0.0,40.0,DTC,2024-10
O000113,C0509,2025-10-08,P011,1,20.0,0.0,20.0,DTC,2025-10
O000114,C2933,2024-03-19,P006,1,25.0,0.0,25.0,DTC,2024-03
O000115,C1252,2025-10-25,P010,2,28.0,0.0,56.0,DTC,2025-10
O000116,C2383,2024-07-16,P002,1,25.0,0.15,21.25,DTC,2024-07
O000117,C2297,2025-06-28,P002,1,25.0,0.0,25.0,DTC,2025-06
O000118,C1371,2025-05-31,P010,2,28.0,0.0,56.0,DTC,2025-05
O000119,C1160,2025-07-17,P004,1,32.0,0.0,32.0,DTC,2025-07
O000120,C1369,2025-08-25,P002,1,25.0,0.0,25.0,DTC,2025-08
O000121,C2000,2025-01-30,P008,1,25.0,0.0,25.0,DTC,2025-01
O000122,C1081,2025-01-23,P012,1,79.0,0.0,79.0,DTC,2025-01
O000123,C2248,2024-01-07,P012,1,79.0,0.0,79.0,DTC,2024-01
O000124,C1746,2024-06-23,P012,1,79.0,0.0,79.0,DTC,2024-06
O000125,C1965,2025-08-06,P004,1,32.0,0.05,30.4,DTC,2025-08
O000126,C2583,2024-06-07,P009,3,32.0,0.15,81.6,DTC,2024-06
O000127,C2741,2025-06-08,P011,2,20.0,0.0,40.0,DTC,2025-06
O000128,C2297,2024-07-17,P005,1,25.0,0.0,25.0,DTC,2024-07
O000129,C1461,2025-04-28,P008,1,25.0,0.0,25.0,Subscription,2025-04
O000130,C2124,2025-10-21,P003,1,25.0,0.0,25.0,DTC,2025-10
O000131,C1031,2024-08-02,P012,1,79.0,0.0,79.0,DTC,2024-08
O000132,C2259,2025-09-27,P009,2,32.0,0.0,64.0,DTC,2025-09
O000133,C1925,2024-08-31,P002,1,25.0,0.15,21.25,DTC,2024-08
O000134,C2604,2025-08-15,P003,1,25.0,0.0,25.0,DTC,2025-08
O000135,C1514,2024-06-15,P001,1,25.0,0.0,25.0,DTC,2024-06
O000136,C2211,2025-02-07,P008,1,25.0,0.1,22.5,DTC,2025-02
O000137,C1452,2025-02-20,P001,1,25.0,0.05,23.75,DTC,2025-02
O000138,C2000,2024-11-02,P002,1,25.0,0.0,25.0,DTC,2024-11
O000139,C1943,2024-04-08,P010,1,28.0,0.0,28.0,DTC,2024-04
O000140,C2441,2025-03-03,P001,1,25.0,0.0,25.0,DTC,2025-03
O000141,C0957,2024-09-17,P008,1,25.0,0.0,25.0,DTC,2024-09
O000142,C2141,2025-05-10,P011,1,20.0,0.0,20.0,DTC,2025-05
O000143,C2489,2025-10-16,P008,1,25.0,0.0,25.0,DTC,2025-10
O000144,C1380,2025-11-29,P008,1,25.0,0.0,25.0,DTC,2025-11
O000145,C0437,2025-10-29,P009,1,32.0,0.15,27.2,DTC,2025-10
O000146,C2889,2025-08-31,P007,1,32.0,0.0,32.0,DTC,2025-08
O000147,C2821,2025-04-06,P011,1,20.0,0.0,20.0,DTC,2025-04
O000148,C1740,2024-02-17,P010,2,28.0,0.0,56.0,DTC,2024-02
O000149,C0750,2024-10-12,P011,1,20.0,0.0,20.0,DTC,2024-10
O000150,C2411,2024-10-07,P010,2,28.0,0.0,56.0,DTC,2024-10
O000151,C0675,2025-06-14,P002,3,25.0,0.1,67.5,DTC,2025-06
O000152,C0421,2025-08-11,P009,2,32.0,0.0,64.0,DTC,2025-08
O000153,C1046,2024-12-12,P001,1,25.0,0.1,22.5,Subscription,2024-12
O000154,C2164,2025-09-20,P008,1,25.0,0.0,25.0,Subscription,2025-09
O000155,C1655,2025-07-18,P009,1,32.0,0.0,32.0,Subscription,2025-07
O000156,C2530,2025-12-10,P001,1,25.0,0.0,25.0,DTC,2025-12
O000157,C2093,2024-10-27,P007,1,32.0,0.0,32.0,DTC,2024-10
O000158,C1479,2025-01-04,P010,1,28.0,0.15,23.8,Subscription,2025-01
O000159,C2296,2025-12-27,P003,1,25.0,0.0,25.0,DTC,2025-12
O000160,C1862,2024-07-11,P003,2,25.0,0.0,50.0,DTC,2024-07
O000161,C1113,2024-10-02,P002,1,25.0,0.0,25.0,DTC,2024-10
O000162,C1101,2025-08-16,P012,1,79.0,0.0,79.0,DTC,2025-08
O000163,C1387,2025-03-11,P008,2,25.0,0.0,50.0,DTC,2025-03
O000164,C1255,2024-02-23,P007,1,32.0,0.0,32.0,DTC,2024-02
O000165,C1254,2025-09-12,P005,1,25.0,0.0,25.0,DTC,2025-09
O000166,C0371,2024-05-04,P005,1,25.0,0.0,25.0,DTC,2024-05
O000167,C1046,2024-08-16,P006,3,25.0,0.0,75.0,Subscription,2024-08
O000168,C1179,2024-08-26,P008,2,25.0,0.0,50.0,DTC,2024-08
O000169,C2283,2024-07-28,P007,2,32.0,0.0,64.0,DTC,2024-07
O000170,C2143,2025-11-06,P004,1,32.0,0.0,32.0,DTC,2025-11
O000171,C1618,2024-12-07,P004,2,32.0,0.0,64.0,DTC,2024-12
O000172,C2526,2024-09-01,P002,1,25.0,0.05,23.75,DTC,2024-09
O000173,C0586,2025-06-14,P002,1,25.0,0.0,25.0,DTC,2025-06
O000174,C1815,2025-05-17,P001,1,25.0,0.0,25.0,Subscription,2025-05
O000175,C0606,2024-05-21,P003,2,25.0,0.0,50.0,DTC,2024-05
O000176,C1255,2024-12-30,P003,1,25.0,0.0,25.0,Subscription,2024-12
O000177,C0329,2025-06-30,P008,1,25.0,0.0,25.0,DTC,2025-06
O000178,C2035,2025-12-05,P006,1,25.0,0.0,25.0,DTC,2025-12
O000179,C1291,2024-02-21,P002,1,25.0,0.0,25.0,DTC,2024-02
O000180,C2504,2024-02-22,P008,2,25.0,0.0,50.0,DTC,2024-02
O000181,C1814,2025-04-23,P002,2,25.0,0.0,50.0,DTC,2025-04
O000182,C1707,2024-10-28,P004,3,32.0,0.05,91.2,Subscription,2024-10
O000183,C2132,2025-11-19,P002,1,25.0,0.0,25.0,Subscription,2025-11
O000184,C1732,2025-09-06,P008,1,25.0,0.0,25.0,DTC,2025-09
O000185,C0443,2025-07-21,P008,1,25.0,0.0,25.0,DTC,2025-07
O000186,C1024,2024-11-19,P012,2,79.0,0.0,158.0,DTC,2024-11
O000187,C0454,2024-05-01,P009,3,32.0,0.0,96.0,DTC,2024-05
O000188,C1383,2025-06-30,P007,2,32.0,0.0,64.0,DTC,2025-06
O000189,C0572,2025-07-18,P003,1,25.0,0.0,25.0,DTC,2025-07
O000190,C1236,2024-11-02,P010,1,28.0,0.1,25.2,DTC,2024-11
O000191,C2168,2025-02-27,P004,2,32.0,0.0,64.0,Subscription,2025-02
O000192,C0819,2025-12-02,P003,1,25.0,0.0,25.0,DTC,2025-12
O000193,C2877,2025-11-09,P001,2,25.0,0.0,50.0,DTC,2025-11
O000194,C2737,2025-02-03,P012,2,79.0,0.0,158.0,Subscription,2025-02
O000195,C0232,2024-06-24,P012,1,79.0,0.1,71.1,DTC,2024-06
O000196,C1011,2025-10-20,P012,3,79.0,0.1,213.3,DTC,2025-10
O000197,C1281,2025-05-27,P003,1,25.0,0.0,25.0,Subscription,2025-05
O000198,C1286,2025-12-12,P009,1,32.0,0.0,32.0,DTC,2025-12
O000199,C2176,2024-12-24,P008,1,25.0,0.0,25.0,DTC,2024-12
O000200,C2624,2024-03-18,P002,1,25.0,0.1,22.5,DTC,2024-03
O000201,C2565,2025-03-30,P011,1,20.0,0.0,20.0,DTC,2025-03
O000202,C1032,2025-07-19,P011,2,20.0,0.0,40.0,DTC,2025-07
O000203,C2604,2024-09-11,P008,1,25.0,0.0,25.0,DTC,2024-09
O000204,C2227,2025-03-22,P005,1,25.0,0.0,25.0,Subscription,2025-03
O000205,C0168,2024-04-30,P006,2,25.0,0.0,50.0,Subscription,2024-04
O000206,C2995,2025-03-07,P003,2,25.0,0.0,50.0,DTC,2025-03
O000207,C2409,2024-08-30,P004,1,32.0,0.0,32.0,DTC,2024-08
O000208,C2029,2025-03-26,P001,1,25.0,0.15,21.25,DTC,2025-03
O000209,C1421,2024-10-31,P009,2,32.0,0.0,64.0,DTC,2024-10
O000210,C1392,2024-03-10,P011,3,20.0,0.0,60.0,DTC,2024-03
O000211,C0034,2025-03-24,P005,3,25.0,0.15,63.75,DTC,2025-03
